LME Number;LME Name;Ratio value of Fishing subsidy to landed value;Ecological footprint or primary prod required (PPR);Marine trophic index (MTI): change in the average value of MTI in the 2000s from that in the 1950s  ;Fishing in Balance index (FiB): change in the average value of FIB in the 2000s from that in the 1950s   ;Stock status (number): number of stocks in the collapsed and overexploited stages as a % of the total number of stocks between 2000-2010;Stock status (biomass): catch biomass of stocks in the collapsed and overexploited stages as % of the total catch biomass between 2000-2010  ;Catch from bottom trawling gears as % of total catch;Rate of change of effective fishing effort ( kW) from the mean of the 1980s to the mean of the 2000s;% change in catch potential in the 2050s
42;Southeast Australian Shelf;0.22;0.01;-0.18;1.15;47.69;17.52;36.41;1 861 609;6.53
43;South West Australian Shelf;0.22;0.01;-0.43;0.53;36.82;15.81;29.46;1 284 043;15.77
44;West Central Australian Shelf;0.22;0.01;0.19;1.51;42.82;14.62;17.22;61 366;0.65
45;Northwest Australian Shelf;0.21;0.03;-0.1;1.84;31.01;11.1;25.88;585 995;3.06
46;New Zealand Shelf;0.02;0.26;0.72;4.1;53.63;33.33;58;1 507 816;-6.58
47;East China Sea;0.31;1.24;-0.08;0.86;48.56;15.26;33.51;5 848 689;-15.9
48;Yellow Sea;0.26;0.95;-0.14;0.89;46.29;8.43;32.18;2 005 531;2.97
49;Kuroshio Current;0.48;0.23;-0.12;-0.2;54.15;60.35;24.03;9 498 713;2.32
50;Sea of Japan;0.38;0.35;-0.1;0.18;40.84;43.58;17.63;6 206 344;-5.88
51;Oyashio Current;0.42;0.23;-0.15;0.38;30.29;36.42;11.72;607 927;5.41
52;Sea of Okhotsk;0.42;0.3;-0.14;0.73;30.71;47.78;11.51;2 038 986;21.61
53;West Bering Sea;0.38;0.1;-0.12;0.52;36.97;43.31;9.24;546 502;29.38
54;Northern Bering - Chukchi Seas;0;0;-0.01;-1.13;41.94;28.89;11.2;1 393 584;292.5
55;Beaufort Sea;0.03;0;0.02;-1.84;37.5;20.38;9.38;0;-20.75
56;East Siberian Sea;0;0;-0.03;0.43;33.33;22.61;2.5;0;-27.42
57;Laptev Sea;0;0;-0.02;-0.1;0;5.34;4.42;0;14.71
58;Kara Sea;0.73;0;-0.33;-3.45;60.94;54.64;36.37;77;14.64
59;Iceland Shelf and Sea;0.44;0.07;-0.49;-0.88;71.32;52.08;13.48;4 317 762;14.34
60;Faroe Plateau;0.09;1.28;-0.06;0.76;44.39;8.33;19.8;2 904;4.5
61;Antarctica;0.22;0;-1.2;1.18;65.52;0.08;0.99;119 245;7.24
62;Black Sea;0.12;0.06;-0.14;0.17;48.43;36.27;11.37;17 186 030;-0.1
63;Hudson Bay Complex;0.29;0;-0.12;-1.71;100;100;8.76;-76;-2.15
64;Central Arctic;0;0;-0.2;-1.82;87.5;62.57;32.19;1 036;0.12
65;Aleutian Islands;0;0;-0.99;-4.59;45.16;31.69;10.77;448 593;-8.63
66;Canadian High Arctic - North Greenland;0;0.02;-1.48;-4.96;58.33;61.56;32.59;305;4.73
